County,Crimes,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Riverside,Violent Crimes,6203.0,6260.0,7020.0,7447.0,7308.0,7360.0,7511.0,7243.0,7201.0,8122.0
Riverside,Property Crimes,65134.0,61434.0,65616.0,65333.0,61826.0,60306.0,57986.0,52786.0,50113.0,56431.0
Riverside,Arson,213.0,255.0,234.0,209.0,229.0,244.0,276.0,306.0,234.0,338.0
Sacramento,Violent Crimes,7515.0,7452.0,8264.0,7734.0,7412.0,6917.0,6765.0,7314.0,7914.0,8894.0
Sacramento,Property Crimes,44326.0,40246.0,42018.0,39105.0,36588.0,35430.0,36224.0,32822.0,34567.0,37252.0
Sacramento,Arson,272.0,266.0,200.0,281.0,315.0,261.0,278.0,406.0,317.0,331.0
San Benito,Violent Crimes,245.0,196.0,179.0,155.0,183.0,149.0,147.0,164.0,292.0,211.0
San Benito,Property Crimes,792.0,736.0,725.0,543.0,556.0,667.0,472.0,573.0,562.0,510.0
San Benito,Arson,7.0,4.0,4.0,6.0,6.0,2.0,5.0,22.0,15.0,11.0
San Bernardino,Violent Crimes,8434.0,8281.0,9947.0,10469.0,10217.0,10577.0,12219.0,12811.0,12736.0,12677.0
San Bernardino,Property Crimes,57598.0,54778.0,59592.0,54937.0,52007.0,52072.0,47416.0,39521.0,38777.0,43357.0
San Bernardino,Arson,411.0,433.0,405.0,392.0,410.0,461.0,416.0,467.0,515.0,497.0
San Diego,Violent Crimes,11173.0,10585.0,10943.0,10959.0,11288.0,11379.0,11409.0,11517.0,12286.0,12497.0
San Diego,Property Crimes,70276.0,59050.0,63444.0,61356.0,56797.0,56495.0,55233.0,49471.0,54262.0,52736.0
San Diego,Arson,366.0,392.0,341.0,420.0,347.0,362.0,280.0,521.0,426.0,427.0
San Francisco,Violent Crimes,7164.0,6822.0,6789.0,6269.0,6410.0,6290.0,6092.0,4922.0,4966.0,5456.0
San Francisco,Property Crimes,49438.0,45936.0,53955.0,48437.0,55253.0,50356.0,50012.0,39403.0,45265.0,48411.0
San Francisco,Arson,227.0,242.0,272.0,256.0,303.0,288.0,277.0,381.0,380.0,353.0
San Joaquin,Violent Crimes,4980.0,5346.0,5756.0,6005.0,5991.0,5950.0,5952.0,5517.0,5371.0,5309.0
San Joaquin,Property Crimes,28603.0,25092.0,25031.0,22629.0,21751.0,22123.0,21409.0,17805.0,17515.0,15472.0
San Joaquin,Arson,157.0,146.0,194.0,132.0,270.0,259.0,203.0,275.0,285.0,276.0
San Luis Obispo,Violent Crimes,1069.0,1177.0,1134.0,1115.0,829.0,746.0,630.0,816.0,903.0,1252.0
San Luis Obispo,Property Crimes,6208.0,5683.0,6786.0,6687.0,5812.0,5569.0,5119.0,4610.0,5270.0,5150.0
San Luis Obispo,Arson,61.0,34.0,63.0,59.0,36.0,44.0,44.0,52.0,66.0,58.0
San Mateo,Violent Crimes,1776.0,1561.0,1707.0,1634.0,1928.0,1797.0,1837.0,1754.0,1687.0,2295.0
San Mateo,Property Crimes,14751.0,14186.0,15548.0,14893.0,15142.0,14439.0,16272.0,15604.0,15291.0,15538.0
San Mateo,Arson,109.0,79.0,78.0,78.0,92.0,72.0,70.0,103.0,99.0,108.0
Santa Barbara,Violent Crimes,1416.0,1294.0,1356.0,1527.0,1532.0,1493.0,1529.0,1824.0,1726.0,1714.0
Santa Barbara,Property Crimes,9824.0,9088.0,9122.0,9779.0,8742.0,7633.0,7307.0,8827.0,9642.0,8723.0
Santa Barbara,Arson,60.0,49.0,52.0,49.0,54.0,59.0,54.0,85.0,79.0,103.0
Santa Clara,Violent Crimes,4538.0,4676.0,4801.0,5423.0,5995.0,6155.0,6361.0,6141.0,6800.0,7427.0
Santa Clara,Property Crimes,44475.0,43084.0,45140.0,42797.0,44954.0,45406.0,47606.0,43690.0,41997.0,47914.0
Santa Clara,Arson,241.0,230.0,193.0,248.0,266.0,208.0,253.0,389.0,459.0,349.0
Santa Cruz,Violent Crimes,1002.0,1139.0,1171.0,1101.0,1056.0,989.0,1106.0,970.0,1052.0,1200.0
Santa Cruz,Property Crimes,8140.0,8121.0,9282.0,9485.0,8947.0,7530.0,7005.0,6155.0,5478.0,5239.0
Santa Cruz,Arson,60.0,52.0,49.0,38.0,69.0,84.0,54.0,75.0,74.0,71.0
Shasta,Violent Crimes,1150.0,1275.0,1400.0,1333.0,1225.0,1163.0,623.0,977.0,27.0,70.0
Shasta,Property Crimes,5894.0,5705.0,5851.0,5561.0,5645.0,5131.0,2413.0,3430.0,380.0,622.0
Shasta,Arson,73.0,38.0,36.0,37.0,61.0,53.0,14.0,14.0,0.0,3.0
Sierra,Violent Crimes,7.0,11.0,3.0,14.0,5.0,5.0,1.0,4.0,6.0,10.0
Sierra,Property Crimes,77.0,29.0,33.0,26.0,28.0,22.0,31.0,17.0,50.0,19.0
Sierra,Arson,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Siskiyou,Violent Crimes,116.0,137.0,135.0,161.0,176.0,180.0,181.0,225.0,259.0,319.0
Siskiyou,Property Crimes,773.0,724.0,793.0,876.0,800.0,654.0,636.0,663.0,704.0,737.0
Siskiyou,Arson,4.0,6.0,3.0,5.0,4.0,2.0,1.0,5.0,6.0,2.0
