County,Crimes,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Plumas,Violent Crimes,92.0,91.0,82.0,120.0,146.0,130.0,128.0,159.0,178.0,152.0
Plumas,Property Crimes,390.0,312.0,298.0,359.0,304.0,341.0,314.0,294.0,269.0,288.0
Plumas,Arson,2.0,1.0,0.0,1.0,6.0,3.0,3.0,2.0,4.0,6.0
Riverside,Violent Crimes,"6,203","6,260","7,020","7,447","7,308","7,360","7,511","7,243","7,201","8,122"
Riverside,Property Crimes,"65,134","61,434","65,616","65,333","61,826","60,306","57,986","52,786","50,113","56,431"
Riverside,Arson,213,255,234,209,229,244,276,306,234,338
Sacramento,Violent Crimes,"7,515","7,452","8,264","7,734","7,412","6,917","6,765","7,314","7,914","8,894"
Sacramento,Property Crimes,"44,326","40,246","42,018","39,105","36,588","35,430","36,224","32,822","34,567","37,252"
Sacramento,Arson,272,266,200,281,315,261,278,406,317,331
San Benito,Violent Crimes,245.0,196.0,179.0,155.0,183.0,149.0,147.0,164.0,292.0,211.0
San Benito,Property Crimes,792.0,736.0,725.0,543.0,556.0,667.0,472.0,573.0,562.0,510.0
San Benito,Arson,7.0,4.0,4.0,6.0,6.0,2.0,5.0,22.0,15.0,11.0
San Bernardino,Violent Crimes,"8,434","8,281","9,947","10,469","10,217","10,577","12,219","12,811","12,736","12,677"
San Bernardino,Property Crimes,"57,598","54,778","59,592","54,937","52,007","52,072","47,416","39,521","38,777","43,357"
San Bernardino,Arson,411,433,405,392,410,461,416,467,515,497
San Diego,Violent Crimes,"11,173","10,585","10,943","10,959","11,288","11,379","11,409","11,517","12,286","12,497"
San Diego,Property Crimes,"70,276","59,050","63,444","61,356","56,797","56,495","55,233","49,471","54,262","52,736"
San Diego,Arson,366,392,341,420,347,362,280,521,426,427
San Francisco,Violent Crimes,"7,164","6,822","6,789","6,269","6,410","6,290","6,092","4,922","4,966","5,456"
San Francisco,Property Crimes,"49,438","45,936","53,955","48,437","55,253","50,356","50,012","39,403","45,265","48,411"
San Francisco,Arson,227,242,272,256,303,288,277,381,380,353
San Joaquin,Violent Crimes,"4,980","5,346","5,756","6,005","5,991","5,950","5,952","5,517","5,371","5,309"
San Joaquin,Property Crimes,"28,603","25,092","25,031","22,629","21,751","22,123","21,409","17,805","17,515","15,472"
San Joaquin,Arson,157,146,194,132,270,259,203,275,285,276
San Luis Obispo,Violent Crimes,"1,069","1,177","1,134","1,115",829,746,630,816,903,"1,252"
San Luis Obispo,Property Crimes,"6,208","5,683","6,786","6,687","5,812","5,569","5,119","4,610","5,270","5,150"
San Luis Obispo,Arson,61,34,63,59,36,44,44,52,66,58
San Mateo,Violent Crimes,"1,776","1,561","1,707","1,634","1,928","1,797","1,837","1,754","1,687","2,295"
San Mateo,Property Crimes,"14,751","14,186","15,548","14,893","15,142","14,439","16,272","15,604","15,291","15,538"
San Mateo,Arson,109,79,78,78,92,72,70,103,99,108
Santa Barbara,Violent Crimes,"1,416","1,294","1,356","1,527","1,532","1,493","1,529","1,824","1,726","1,714"
Santa Barbara,Property Crimes,"9,824","9,088","9,122","9,779","8,742","7,633","7,307","8,827","9,642","8,723"
Santa Barbara,Arson,60,49,52,49,54,59,54,85,79,103
Santa Clara,Violent Crimes,"4,538","4,676","4,801","5,423","5,995","6,155","6,361","6,141","6,800","7,427"
Santa Clara,Property Crimes,"44,475","43,084","45,140","42,797","44,954","45,406","47,606","43,690","41,997","47,914"
Santa Clara,Arson,241,230,193,248,266,208,253,389,459,349
Santa Cruz,Violent Crimes,"1,002","1,139","1,171","1,101","1,056",989,"1,106",970,"1,052","1,200"
Santa Cruz,Property Crimes,"8,140","8,121","9,282","9,485","8,947","7,530","7,005","6,155","5,478","5,239"
Santa Cruz,Arson,60,52,49,38,69,84,54,75,74,71
Shasta,Violent Crimes,"1,150","1,275","1,400","1,333","1,225","1,163",623,977,27.0,70.0
Shasta,Property Crimes,"5,894","5,705","5,851","5,561","5,645","5,131","2,413","3,430",380.0,622.0
Shasta,Arson,73,38,36,37,61,53,14,14,0.0,3.0
Sierra,Violent Crimes,7.0,11.0,3.0,14.0,5.0,5.0,1.0,4.0,6.0,10.0
Sierra,Property Crimes,77.0,29.0,33.0,26.0,28.0,22.0,31.0,17.0,50.0,19.0
Sierra,Arson,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Siskiyou,Violent Crimes,116.0,137.0,135.0,161.0,176.0,180.0,181.0,225.0,259.0,319.0
Siskiyou,Property Crimes,773.0,724.0,793.0,876.0,800.0,654.0,636.0,663.0,704.0,737.0
Siskiyou,Arson,4.0,6.0,3.0,5.0,4.0,2.0,1.0,5.0,6.0,2.0
Solano,Violent Crimes,"2,001","2,109","2,063","2,022","2,112","2,110","2,114","2,350","2,294","2,503"
Solano,Property Crimes,"13,533","13,453","13,012","11,719","12,004","11,894","13,161","10,689","10,474","11,856"
Solano,Arson,115,87,107,121,140,107,106,177,182,139
Sonoma,Violent Crimes,"1,782","1,821","1,898","1,868","2,025","1,985","2,016","2,212","1,946","1,682"
Sonoma,Property Crimes,"8,218","8,583","9,943","7,794","7,586","7,167","6,760","6,412","6,707","5,996"
Sonoma,Arson,69,68,87,54,64,52,72,74,67,94
Stanislaus,Violent Crimes,"2,716","2,826","3,093","3,366","3,300","3,160","2,908","2,823","2,740","2,973"
